"Sort order","Major area, region, country or area of destination",Notes,Code,Type of data (a),1990,1995,2000,2005,2010,2015,2019
228,Bulgaria,,100,B,21 510,32 435,43 360,61 074,76 287,123 803,168 516
229,Czechia,,203,C,110 394,165 592,220 789,322 540,398 493,416 454,512 705
230,Hungary,,348,B R,347 510,322 234,296 957,366 787,436 616,475 508,512 043
231,Poland,,616,B,1 127 771,964 725,825 251,722 509,642 417,619 403,655 985
233,Romania,,642,B,135 825,135 037,134 254,145 162,177 211,281 048,462 552
235,Slovakia,,703,B,41 295,69 323,116 376,130 491,146 319,177 624,187 984
239,Denmark,,208,B,235 189,303 108,371 026,440 383,500 772,595 876,722 878
240,Estonia,,233,B,381 997,315 755,249 512,233 701,217 890,194 664,190 242
242,Finland,21,246,B,63 255,99 729,136 203,192 169,228 481,314 856,383 116
243,Iceland,,352,B,9 584,12 738,15 892,25 492,35 091,39 072,52 404
244,Ireland,,372,B,227 961,226 892,350 552,589 046,730 542,759 256,833 564
246,Latvia,,428,B,646 007,538 093,430 178,376 725,313 786,265 418,237 266
247,Lithuania,,440,B,349 258,273 587,214 311,201 209,160 772,136 021,117 218
248,Norway,22,578,B,192 587,233 302,292 440,361 144,526 799,746 375,867 765
249,Sweden,,752,B,788 767,936 022,1 003 798,1 125 790,1 384 929,1 676 264,2 005 210
250,United Kingdom,,826,B,3 650 286,4 155 293,4 730 165,5 926 156,7 119 664,8 411 569,9 552 110
252,Albania,,8,B,66 013,71 354,76 695,64 739,52 784,52 031,49 160
254,Bosnia and Herzegovina,,70,I R,56 000,69 476,82 952,47 272,38 792,38 574,35 735
255,Croatia,,191,B R,475 438,674 085,585 298,579 273,573 248,561 093,518 083
259,Italy,,380,B,1 428 219,1 774 954,2 121 688,3 954 790,5 787 893,5 805 328,6 273 722
260,Malta,,470,B,15 077,17 740,21 521,24 560,33 008,52 642,84 949
262,North Macedonia,,807,B,95 142,109 343,125 665,127 667,129 701,130 730,131 175
263,Portugal,,620,B,435 782,532 822,651 472,771 184,762 825,864 814,888 162
265,Serbia,24,688,B,99 269,870 980,977 873,854 848,826 275,807 441,820 312
266,Slovenia,,705,B,178 077,174 419,214 508,217 218,253 786,237 616,253 122
267,Spain,25,724,B,821 605,1 020 067,1 657 285,4 107 226,6 280 065,5 891 208,6 104 203
269,Austria,,40,B,793 239,894 893,996 547,1 136 270,1 275 992,1 492 374,1 779 857
270,Belgium,,56,B,1 280 583,1 288 003,1 268 368,1 248 733,1 503 806,1 783 488,1 981 919
271,France,,250,B,5 897 267,6 087 993,6 278 718,6 737 600,7 309 986,7 874 172,8 334 875
272,Germany,,276,B,5 936 181,7 464 406,8 992 631,9 402 447,9 812 263,10 220 418,13 132 146
274,Luxembourg,,442,B,113 795,126 106,139 750,150 618,163 142,248 888,291 723
276,Netherlands,,528,B,1 182 263,1 346 164,1 556 337,1 736 127,1 832 510,1 996 318,2 282 791
277,Switzerland,,756,B,1 392 282,1 478 829,1 570 756,1 805 437,2 075 182,2 416 394,2 572 029
