unit,na_item,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 
CLV10_EUR_HAB,B1GQ,AL	: 	3670 p	3530 	3410 	3330 	3260 	3230 	3180 	3090 	2960 	2850 	2630 	2460 	2310 	2180 	2060 	1940 	1850 	1700 	1580 	1390 	1270 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,AT	37810 	37090 	36430 	36140 	36130 	36180 	36390 	36300 	35390 	34830 	36280 	35870 	34700 	33710 	33200 	32520 	32360 	31990 	31710 	30750 	29750 	28760 	28200 	27590 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,BE	35670 	35330 	34810 	34470 	33960 	33590 	33610 	33590 	33330 	32700 	33640 	33760 	32800 	32200 	31640 	30680 	30490 	30110 	29890 	28890 	27970 	27490 	26540 	26250 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,BG	6550 p	6310 p	6050 p	5790 p	5530 p	5400 p	5350 p	5300 	5050 	4990 	5140 	4820 	4500 	4190 	3890 	3640 	3440 	3230 	3010 	2860 	3100 	2950 	3420 	3240 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,CH	59870 p	58700 p	58200 	57840 	57730 	57040 	56660 	56690 	56150 	55080 	57030 	56490 	54720 	52920 	51630 	50580 	50930 	51220 	50770 	49120 	48560 	47290 	46330 	46310 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,CY	23770 p	23120 	22360 	21040 	20240 	20400 	21780 	22900 	23400 	23550 	24680 	24420 	23740 	23050 	22300 	21520 	21230 	20700 	20130 	19200 	18490 	17640 	17430 	17500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,CZ	17640 	17200 	16520 	16160 	15370 	14980 	15060 	15200 	14900 	14610 	15430 	15190 	14460 	13570 	12780 	12180 	11760 	11540 	11170 	10700 	10530 	10560 	10610 	10170 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,DE	35860 	35420 	34700 	34220 	33930 	33330 	33280 	33200 	31940 	30580 	32320 	31920 	30930 	29730 	29470 	29090 	29290 	29370 	28900 	28100 	27570 	27010 	26550 	26380 	26040 	25490 	25880 	25560 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,DK	48260 	47360 	46720 	45630 	44890 	44410 	44170 	44240 	43840 	43220 	45700 	46210 	45990 	44400 	43520 	42490 	42430 	42390 	42190 	40800 	39760 	39030 	37960 	37120 	36200 	34480 	34590 	34040 	33660 	33230 	33030 	33050 	33010 	31510 	30310 	29080 	28320 	27290 	27470 	27630 	26670 	26170 	25770 	24390 
CLV10_EUR_HAB,B1GQ,EA	30930 	30420 	29730 	29270 	28900 	28680 	28830 	29170 	28850 	28320 	30020 	30100 	29490 	28730 	28450 	27980 	27990 	27900 	27770 	26840 	26130 	25440 	24860 	24540 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,EA12	31610 	31110 	30420 	29960 	29450 	29120 	29260 	29620 	29230 	28700 	30120 	30170 	29490 	28730 	28450 	27980 	27990 	27900 	27420 	26490 	25800 	25110 	24540 	24210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,EA19	30930 	30420 	29730 	29270 	28750 	28410 	28550 	28880 	28470 	27940 	29350 	29370 	28670 	27910 	27600 	27120 	27100 	26990 	26500 	25610 	24930 	24250 	23680 	23360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,EE	15090 	14440 	13650 	13330 	13060 	12640 	12430 	12010 	11150 	10830 	12640 	13270 	12260 	11110 	10090 	9390 	8680 	8070 	7570 	6990 	6940 	6590 	5760 	5400 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,EL	17790 p	17410 p	17110 p	17080 p	17040 p	16800 p	17240 p	18500 p	20320 	21530 	22560 	22690 	22030 	20910 	20850 	19890 	18850 	18210 	17570 	16980 	16540 	16010 	15390 	15030 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,ES	24880 p	24410 p	23760 	23080 	22210 	21840 	22080 	22770 	23040 	23100 	24200 	24380 	24000 	23420 	23020 	22680 	22430 	22190 	21460 	20480 	19680 	18930 	18330 	17930 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,EU15	32330 	31870 	31230 	30770 	30240 	29850 	29880 	30150 	29770 	29230 	30700 	30810 	30160 	29400 	29010 	28510 	28350 	28160 	27640 	26720 	26000 	25270 	24640 	24280 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,EU27_2019	27610 	27080 	26400 	25930 	25390 	25040 	25090 	25320 	24900 	24400 	25580 	25500 	24810 	24060 	23710 	23200 	23090 	22900 	22450 	21650 	21060 	20470 	19960 	19640 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,EU28	28270 	27780 	27130 	26680 	26140 	25750 	25730 	25900 	25500 	25020 	26240 	26220 	25560 	24820 	24410 	23910 	23690 	23440 	22950 	22160 	21540 	20920 	20370 	20030 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,FI	36820 	36270 	35280 	34470 	34390 	34660 	35140 	35810 	35080 	34150 	37330 	37210 	35490 	34250 	33440 	32250 	31690 	31230 	30510 	28900 	27750 	26390 	24890 	24090 	23200 	22420 	22680 	23600 	25220 	25170 	24040 	22920 	22200 	21690 	21040 	20490 	20000 	19510 	19350 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,FR	32830 p	32370 p	31770 	31540 	31320 	31170 	31160 	31210 	30690 	30250 	31310 	31400 	30850 	30320 	30050 	29440 	29410 	29290 	28930 	28030 	27240 	26400 	25880 	25610 	25180 	24690 	24950 	24680 	24550 	23980 	23120 	22200 	21760 	21380 	21140 	20930 	20780 	20400 	20300 	20080 	19480 	18820 	18270 	17580 
CLV10_EUR_HAB,B1GQ,HR	11940 p	11500 	11050 	10590 	10290 	10260 	10280 	10480 	10480 	10630 	11460 	11260 	10700 	10200 	9790 	9400 	8890 	8480 	7840 	7540 	7580 	7440 	6900 	6410 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,HU	12560 	11930 	11410 	11130 	10690 	10230 	10010 	10110 	9900 	9810 	10500 	10370 	10330 	9910 	9490 	9040 	8660 	8240 	7900 	7540 	7300 	7010 	6780 	6760 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,IE	57960 	54240 	50710 	49470 	39890 	37010 	36690 	36760 	36790 	36300 	38600 	41300 	40400 	39470 	38190 	36420 	35930 	34520 	33310 	30830 	28210 	26300 	23970 	22470 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,IS	39280 	38490 	37750 	35890 	34620 	34290 	33250 	33000 	32490 	33520 	35940 	36140 	33820 	33040 	31420 	29420 	28940 	28990 	28290 	27360 	26620 	25130 	23930 	23020 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,IT	26760 	26500 	26010 	25640 	25420 	25480 	26090 	27020 	26930 	26590 	28230 	28730 	28480 	28090 	28030 	27850 	27960 	27950 	27430 	26440 	26020 	25570 	25120 	24810 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,LT	13310 	12720 	12040 	11590 	11250 	10780 	10300 	9790 	9030 b	8710 	10110 	9750 	8670 	7950 	7260 	6740 	6050 	5620 	5230 	5000 	5020 	4640 	4250 	4010 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,LU	83470 	82550 	82880 	81300 	79490 	78030 	77240 	79310 	79160 	76900 	81880 	84420 	79190 	76460 	75270 	73650 	73380 	71440 	70460 	65950 	61670 	58890 	56440 	56340 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,LV	12180 	11560 	11030 	10740 	10310 	10030 	9700 	9200 	8500 	8710 	9990 	10220 	9220 	8170 	7290 	6660 	6080 	5610 	5210 	4890 	4710 	4390 	3990 	3850 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,ME	6230 	5920 	5660 	5500 	5320 	5230 	5060 	5200 	5050 	4920 	5230 	4890 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,MK	: 	: 	3980 e	3870 e	3740 e	3610 e	3510 e	3530 e	3460 e	3350 e	3370 e	3200 e	3010 e	2870 e	2750 e	2630 e	2580 e	2530 e	2620 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,MT	21630 	20850 	20090 	19450 	17970 	16870 	16360 	16060 	15920 	15450 	15960 	15550 	15000 	14790 	14340 	14370 	14110 	13800 	13830 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,NL	41540 p	40730 p	39810 	39170 	38580 	38180 	38340 	38880 	38470 	38160 	39810 	39120 	37780 	36570 	35920 	35350 	35460 	35610 	35060 	33890 	32480 	31230 	30090 	29200 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,NO	69530 	69130 	68090 	67950 	67340 	66780 	66900 	66010 	66220 	66580 	68610 	69140 	67830 	66780 	65510 	63380 	63190 	62620 	61660 	60130 	59360 	58180 	55560 	53170 	51310 	49120 	48050 	46660 	45480 	44770 	44500 	44850 	44290 	42710 	40590 	38380 	37030 	37080 	36620 	35140 	33780 	32650 	31480 	29890 
CLV10_EUR_HAB,B1GQ,PL	12430 	11820 	11260 	10920 	10510 	10170 	10020 	9860 	9390 	9070 	8910 	8550 	7980 	7510 	7250 	6900 	6650 	6520 	6440 	6150 	5880 	5620 	5280 	4980 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,PT	18110 p	17650 	17010 	16620 	16260 	16050 	16110 	16720 	16990 	16710 	17260 	17230 	16840 	16600 	16500 	16250 	16470 	16430 	16230 	15750 	15240 	14610 	14060 	13640 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,RO	8700 p	8320 	7720 	7330 	7020 	6760 	6510 	6350 	6190 	6410 	6730 b	6050 	5560 	5120 	4860 	4370 	4250 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,RS	5190 	4950 	4820 	4640 	4540 	4590 	4440 	4450 	4330 	4280 	4380 	4130 	3860 	3660 	3460 	3160 	3020 	2840 	2650 	2490 b	2120 	2050 	1920 	1810 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,SE	43850 	43350 	42910 	42430 	41060 	40360 	40270 	40820 	39920 	37910 	39930 	40340 	39290 	37770 	36860 	35470 	34820 	34180 	33780 	32260 	30950 	29700 	28820 	28410 	27460 	26600 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,SI	20170 	19430 	18540 	17990 	17620 	17160 	17360 	17870 	17750 	17570 	19190 b	18570 	17460 	16570 	15990 	15330 	14900 	14410 	13980 	13530 	12850 	12420 	11800 	11440 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,SK	15560 	14970 	14550 	14270 	13620 	13270 	13200 	12980 	12540 	11890 	12600 	11960 	10800 	9960 	9350 	8890 	8420 	8060 	7780 	7690 	7710 	7420 	7010 	6590 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,TR	11500 	11300 	10700 	10500 	10000 	9600 	9000 	8700 	7900 	7400 	7900 	7900 	7700 	7200 	6700 	6200 	5900 	5700 	6100 	5800 	6100 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,UK	32710 	32460 	32050 	31700 	31220 	30660 	30200 	29960 	29750 	29420 	30940 	31280 	30790 	30160 	29460 	28920 	28130 	27610 	26920 	26110 	25340 	24510 	23660 	23140 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,P3,AL	: 	3160 	3090 	3010 	2980 	2880 d	2820 	2810 	2760 	2690 	2650 	2400 	2130 	2000 	1890 	1820 	1660 	1550 	1470 	1400 	1360 	1430 	1720 	1470 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,P3,AT	26460 	26310 	26130 	26030 	26140 	26230 	26340 	26360 	26190 	26060 	25790 	25450 	25230 	24770 	24390 	24030 	23770 	23720 	23610 	23130 	22580 	21960 	21760 	21270 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,P3,BE	26250 	26050 	25820 	25590 	25420 	25360 	25190 	25010 	25050 	24750 	24730 	24460 	24150 	23960 	23820 	23580 	23430 	23210 	23000 	22450 	22020 	21480 	21220 	20880 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,P3,BG	5290 p	5030 p	4800 p	4620 p	4440 p	4320 p	4380 p	4260 	4050 	4000 	4170 	4030 	3680 	3400 	3190 	2930 	2730 	2590 	2360 	2180 	2090 	1970 	2890 	2940 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,P3,CH	38270 p	38230 p	38120 	38010 	37830 	37750 	37230 	36820 	36750 	36540 	36410 	36330 	35890 	35660 	35300 	34980 	35000 	35020 	34570 	34160 	33660 	33100 	32740 	32520 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,P3,CY	19120 p	18730 	18180 	17670 	17160 	17210 	18370 	19170 	19730 	19530 	20890 	19860 	18720 	18200 	17820 	17180 	16550 	16180 	15430 	14760 	14340 	13360 	13040 	12700 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV10_EUR_HAB,P3,CZ	11800 	11440 	11090 	10750 	10440 	10290 	10180 	10340 	10400 	10330 	10360 	10220 	9970 	9730 	9510 	9340 	8880 	8480 	8220 	8130 	7880 	7960 	7720 	7330 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
