age,sex,indic_il,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
TOTAL,F,MED_E,EUR,AT	24675 	24433 	23202 	22741 	22712 	21629 	21183 	20949 	20566 	20030 	18838 b	17787 	17480 	17402 	16603 	15275 b	14667 	14535 	13888 	13677 	13841 	14277 	13394 
TOTAL,F,MED_E,EUR,BE	23195 	22005 	21526 	21012 	21189 	20878 	19688 	19380 	18963 	18851 	17592 	17150 	16692 	16081 	15353 	14994 b	15081 	14378 	13885 	13669 	13707 	13735 	13085 
TOTAL,F,MED_E,EUR,BG	3474 	3480 	3043 b	3236 	3260 	2860 	2776 	2814 	2925 	2762 	2131 	1439 	1361 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,CH	42253 	42640 	43091 	38361 	37278 b	39783 	38156 	32911 	29780 	28003 	26114 	27109 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,CY	15199 	14180 	13854 	13618 	14186 	15437 	16502 	16580 	15839 	16005 	15677 b	15796 	14219 	13027 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,CZ	8802 	8106 	7624 	7203 	7419 	7493 	7581 	7274 	6900 	7114 	5892 	5305 	4694 	4150 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,DE	22081 	21316 	20744 	20238 	19319 	19067 	19137 	18700 	18448 	18219 	17909 	17367 	15403 	16117 b	: 	: 	15441 	15086 	14424 	14133 	14401 	14162 	13104 
TOTAL,F,MED_E,EUR,DK	29611 	29250 	27941 	27756 	27399 	26984 	26678 	26459 b	25075 	24548 	23561 	22861 	22081 	21528 	20725 	20390 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,EA	18794 e	18319 e	17845 e	17420 e	17162 e	17103 e	17112 e	16856 e	16944 e	16708 e	16457 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,EA18	18902 e	18431 	17959 	17536 	17162 	17021 	17029 	16771 	16809 	16581 	16121 	14895 	14057 	13950 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,EA19	18794 e	18319 	17845 	17420 	17045 	16903 	16906 	16645 	16680 	16459 	15996 	14768 	13930 	13819 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,EE	10171 	9089 	8321 	7646 	6929 b	6339 	5707 	5415 	5563 	5960 	5324 	4252 	3471 	2876 	2482 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,EL	7781 	7543 	7422 	7480 	7638 	8074 	9368 	10760 	11690 	11274 	10688 	9938 	9636 	9226 	8650 	8073 b	6974 	6850 	6275 	6299 	5798 	5370 	5102 
TOTAL,F,MED_E,EUR,ES	14492 	13948 	13490 	13249 	13091 	13444 	13695 	13699 	14450 	14355 	13623 b	11304 	10806 	10110 	10092 b	: 	8728 	8043 	7375 	6750 	6503 	6184 	6098 
TOTAL,F,MED_E,EUR,EU	16954 e	16519 e	16149 e	15794 e	15447 e	15077 e	15097 e	14600 e	14492 e	14408 e	14255 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13536 e	12757 e	12012 e	11667 e	11144 e	10664 e	10281 e
TOTAL,F,MED_E,EUR,EU27	17040 e	16606 	16238 	15883 	15537 	15164 	15182 	14680 	14568 	14408 	14255 	13526 	12628 e	12319 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,EU28	16954 e	16519 	16149 	15794 	15447 	15077 	15097 	14600 	14492 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,FI	24012 	23606 	23225 	23375 	23150 	22791 	22196 	21336 	20854 	20334 	19180 	18096 	17911 	17071 	16310 b	: 	14521 	13918 	13204 	13055 	12480 	12499 	: 
TOTAL,F,MED_E,EUR,FR	21975 	21757 	21416 	21137 	20875 	20619 	20292 	19683 	19597 	19287 	18663 b	16151 	15895 	15656 	14960 b	: 	14628 	13986 	13629 	13410 	13237 	12967 	12493 
TOTAL,F,MED_E,EUR,HR	6545 	6068 	5569 	5349 	5070 	4982 	5303 	5477 	5723 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,HU	5323 	4881 	4722 	4524 	4450 	4393 	4606 	4417 	4194 	4686 	4345 	3903 	3805 	3417 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,IE	: 	22475 	21990 	21205 	19951 	19561 	19383 	19077 	20034 	22081 	22389 	21345 	19080 	18311 	17434 	16767 b	14037 	11993 	10850 	10465 	8950 	8042 	7752 
